Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
92,Trevoh Chalobah,eng ENG,DF,Chelsea,25-310,1999,9.3,568,633,89.7,9779,3124,253,267,94.8,276,290,95.2,35,66,53.0,1,1.2,0.3,-0.2,3,40,3,0,37,Matches
93,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,28-084,1997,8.5,200,274,73.0,3236,827,93,115,80.9,94,116,81.0,8,22,36.4,1,0.7,0.6,+0.3,8,20,7,2,27,Matches
94,Youssef Chermiti,pt POR,"FW,MF",Everton,20-352,2004,0.5,6,11,54.5,78,14,4,7,57.1,0,1,0.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
95,Federico Chiesa,it ITA,FW,Liverpool,27-198,1997,0.5,22,26,84.6,257,63,16,17,94.1,4,6,66.7,1,1,100.0,0,0.0,0.1,0.0,0,3,0,0,2,Matches
96,Ben Chilwell,eng ENG,DF,Crystal Palace,28-141,1996,1.5,45,69,65.2,618,155,26,31,83.9,16,25,64.0,1,9,11.1,0,0.2,0.3,-0.2,2,4,2,0,3,Matches
97,Chiquinho,pt POR,MF,Wolves,25-095,2000,0.1,3,3,100.0,71,22,1,1,100.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0.0,1,0,1,1,0,Matches
98,Hamza Choudhury,bd BAN,"MF,DF",Leicester City,27-222,1997,1.5,72,84,85.7,991,249,47,50,94.0,23,29,79.3,2,4,50.0,0,0.4,0.2,-0.4,2,10,1,1,3,Matches
99,Ryan Christie,sct SCO,MF,Bournemouth,30-078,1995,23.5,837,1056,79.3,14882,4269,368,417,88.2,378,430,87.9,82,168,48.8,3,3.5,3.0,-0.5,41,118,33,5,137,Matches
100,Harry Clarke,eng ENG,DF,Ipswich Town,24-070,2001,4.2,190,236,80.5,3442,1226,87,95,91.6,77,88,87.5,23,40,57.5,0,0.0,0.1,0.0,1,21,1,0,14,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
101,Jack Clarke,eng ENG,"FW,MF",Ipswich Town,24-169,2000,12.1,276,360,76.7,4537,1153,140,161,87.0,118,137,86.1,15,30,50.0,4,2.1,1.0,+1.9,25,27,7,0,38,Matches
102,Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,34-036,1991,5.4,171,225,76.0,3113,1102,72,89,80.9,84,95,88.4,14,30,46.7,0,0.3,0.2,-0.3,3,16,2,1,7,Matches
